feature,label,tweet_id,origin
es sexy.,1,,rnn
eres mía.,1,,rnn
la gorda.,1,,rnn
a fregar.,1,,rnn
ca- gona.,1,,rnn
la bruja.,1,,rnn
la vieja.,1,,rnn
la golfa.,1,,rnn
la víbora.,1,,rnn
la maruja.,1,,rnn
la infiel.,1,,rnn
la criada.,1,,rnn
MISS SEXY.,1,,rnn
la toxica.,1,,rnn
tía juruga.,1,,rnn
esto- posa.,1,,rnn
mala mujer.,1,,rnn
mala mujer.,1,,rnn
Estás loca.,1,,rnn
eres gorda.,1,,rnn
sucia zorra.,1,,rnn
Mujer fácil.,1,,rnn
tía cortona.,1,,rnn
ama de casa.,1,,rnn
jodida puta.,1,,rnn
ir de putas.,1,,rnn
puta barata.,1,,rnn
putas locas.,1,,rnn
Tas pendeja.,1,,rnn
la facilota.,1,,rnn
ir de putas.,1,,rnn
mufla de oro.,1,,rnn
malas madres.,1,,rnn
malas madres.,1,,rnn
hijo de puta.,1,,rnn
MISS CERDITA.,1,,rnn
pierna peluda.,1,,rnn
tía cachinga.,1,,rnn
tía chamusca.,1,,rnn
cagachu- rre.,1,,rnn
perra parida.,1,,rnn
la libertina.,1,,rnn
amiga infiel.,1,,rnn
son malvadas.,1,,rnn
Jodida zorra.,1,,rnn
hija de puta.,1,,rnn
pinche vieja.,1,,rnn
MISS CERDITA.,1,,rnn
soy una puta.,1,,rnn
maldita loca.,1,,rnn
la conquista.,1,,rnn
hijo de puta.,1,,rnn
No seas nena.,1,,rnn
malas mujeres.,1,,rnn
tetas grandes.,1,,rnn
Mujer pública.,1,,rnn
vete a fregar.,1,,rnn
Como una niña.,1,,rnn
el sexo débil.,1,,rnn
calla fregona.,1,,rnn
piel de zorra.,1,,rnn
pincha tripas.,1,,rnn
fogón apagado.,1,,rnn
la puta madre.,1,,rnn
no vales nada.,1,,rnn
no vales nada.,1,,rnn
misógino jefe.,1,,rnn
maldita perra.,1,,rnn
bruja malvada.,1,,rnn
silencio puta.,1,,rnn
eres una loca.,1,,rnn
mujeres putas.,1,,rnn
Date a desear.,1,,rnn
maldita perra.,1,,rnn
soy una zorra.,1,,rnn
las muñeconas.,1,,rnn
No seas mensa.,1,,rnn
No seas tonta.,1,,rnn
la robanovios.,1,,rnn
qué chula vas.,1,,rnn
maldita bruja.,1,,rnn
Vas provocando.,1,,rnn
Cállate y puja.,1,,rnn
¿Vas a ir así?,1,,rnn
Hijo/a de puta.,1,,rnn
p*ta asquerosa.,1,,rnn
sapo revolcado.,1,,rnn
Las Malcriadas.,1,,rnn
puta con falda.,1,,rnn
"Cállate, zorra .",1,,rnn
eres una perra.,1,,rnn
silencio tonta.,1,,rnn
silencio perra.,1,,rnn
pinches viejas.,1,,rnn
vieja chismosa.,1,,rnn
Vas provocando.,1,,rnn
la robamaridos.,1,,rnn
la puta barata.,1,,rnn
Es TAN mandona.,1,,rnn
odio a la mujer.,1,,rnn
ojalá te violen.,1,,rnn
negra malc*gida.,1,,rnn
Eres tan básica.,1,,rnn
jimia escaldada.,1,,rnn
eres una inútil.,1,,rnn
Odio a la mujer.,1,,rnn
eres una inútil.,1,,rnn
Una niña inútil.,1,,rnn
la niña rebelde.,1,,rnn
Las niñas putas.,1,,rnn
zorra de zorras.,1,,rnn
Golfa de mierda.,1,,rnn
golfa de mierda.,1,,rnn
No seas llorona.,1,,rnn
es una cuernuda.,1,,rnn
eres una putona.,1,,rnn
No seas pendeja.,1,,rnn
mujer promiscua.,1,,rnn
el hombre manda.,1,,rnn
vieja asquerosa.,1,,rnn
retrasada mental.,1,,rnn
Aflojó el cuerpo.,1,,rnn
TRASEROS BONITOS.,1,,rnn
caldero abollado.,1,,rnn
morcón reventado.,1,,rnn
vieja tortillera.,1,,rnn
es una callejera.,1,,rnn
La mujer violada.,1,,rnn
zorra repugnante.,1,,rnn
eres una pendeja.,1,,rnn
ella es cachonda.,1,,rnn
Eres una fodonga.,1,,rnn
La mujer es mala.,1,,rnn
Es una histérica.,1,,rnn
estupida hermana.,1,,rnn
Eres una cobarde.,1,,rnn
estas bien mensa.,1,,rnn
como jodes mujer.,1,,rnn
corres como niña.,1,,rnn
Es una histérica.,1,,rnn
chicas calientes.,1,,rnn
la bolsa de hielo.,1,,rnn
rodillas o pechos.,1,,rnn
hacedora de hijos.,1,,rnn
esto es un coñazo.,1,,rnn
Esto es un coñazo.,1,,rnn
enferma malcogida.,1,,rnn
piltrafa pringada.,1,,rnn
trasgo del barrio.,1,,rnn
Mujer fea y vieja.,1,,rnn
la madre abnegada.,1,,rnn
la mató por celos.,1,,rnn
toda mujer pecar.,1,,rnn
corres como mujer.,1,,rnn
las malas mujeres.,1,,rnn
esclava del hogar.,1,,rnn
vence a esa zorra.,1,,rnn
La esposa esclava.,1,,rnn
Tú eres bien puta.,1,,rnn
Hombres de verdad.,1,,rnn
ya sientese vieja.,1,,rnn
que puta mi amiga.,1,,rnn
¿Aún no te casas.,1,,rnn
Loca. Estas loca.,1,,rnn
Estas gorda y fea.,1,,rnn
esto es un coñazo.,1,,rnn
las mujeres malas.,1,,rnn
ella es una golfa.,1,,rnn
¡Menuda histérica.,1,,rnn
albarda arrastrada.,1,,rnn
mas estése callada.,1,,rnn
La mujer es mala.,1,,rnn
llorar es de nenas.,1,,rnn
llorar es de niñas.,1,,rnn
la mujer peligrosa.,1,,rnn
Cásate y sé sumisa.,1,,rnn
ella debe obedecer.,1,,rnn
ella debe obedecer.,1,,rnn
Madonna Prostituta.,1,,rnn
completamente loca.,1,,rnn
Golpea a esa zorra.,1,,rnn
estupida perdedora.,1,,rnn
viejas mal paridas.,1,,rnn
Es una rubia tonta.,1,,rnn
Mi muñeca me habl.,1,,rnn
callense estupidas.,1,,rnn
que perra mi amiga.,1,,rnn
que zorra mi amiga.,1,,rnn
Es una robamaridos.,1,,rnn
por que tan solita.,1,,rnn
Mujer = escaparate.,1,,rnn
Te comía a bocados.,1,,rnn
tías buenas y feas.,1,,rnn
Mi muñeca me habl.,1,,rnn
¿Cómo iba vestida?,1,,rnn
su mujer esta plana.,1,,rnn
mujer fea y malvada.,1,,rnn
la mujer vale menos.,1,,rnn
Andar de princesita.,1,,rnn
ella debe someterse.,1,,rnn
golpeaba a su mujer.,1,,rnn
ella es una pendeja.,1,,rnn
No seas tan llorona.,1,,rnn
Mujer tenía que ser.,1,,rnn
eres una arrastrada.,1,,rnn
hija de la chingada.,1,,rnn
la mujer a ?objeto.,1,,rnn
busconas o fulanas.,1,,rnn
Mujer tenía que ser.,1,,rnn
no somos obedientes.,1,,rnn
HILLARY ES ASQUEROSA.,1,,rnn
Mujer tenías que ser.,1,,rnn
Lloras como una niña.,1,,rnn
Peleas como una niña.,1,,rnn
No seas tan llorona.,1,,rnn
mujeres de mal vivir.,1,,rnn
deportes para chicos.,1,,rnn
Deberías sonreír más.,1,,rnn
Una dama no hace eso.,1,,rnn
Eso lo será tu madre.,1,,rnn
la puta que lo pari.,1,,rnn
eres una rubia tonta.,1,,rnn
no estás cualificada.,1,,rnn
¿Eres chica o chico.,1,,rnn
esa no entra en casa.,1,,rnn
mucho mejor es tonta.,1,,rnn
Las mujeres violadas.,1,,rnn
Corres como una niña.,1,,rnn
Mujer tenías que ser.,1,,rnn
Obedezca a su esposo.,1,,rnn
mujer desprestigiada.,1,,rnn
mi mujer es una puta.,1,,rnn
mi amiga es una puta.,1,,rnn
Tienes que ser buena.,1,,rnn
Eso es de marimachos.,1,,rnn
mujer tenias que ser.,1,,rnn
Hillary es asquerosa.,1,,rnn
Tienes boca mamadora.,1,,rnn
eres una loca ardida.,1,,rnn
