,feature,text,clase,word_count,token_count
0,es sexy.,es sexy,violent,2,2
1,eres mía.,eres mía,violent,2,2
2,la gorda.,la gorda,violent,2,2
3,a fregar.,a fregar,violent,2,2
4,ca- gona.,ca- gona,violent,2,2
5,la bruja.,la bruja,violent,2,2
6,la vieja.,la vieja,violent,2,2
7,la golfa.,la golfa,violent,2,2
8,la víbora.,la víbora,violent,2,2
9,la maruja.,la maruja,violent,2,2
10,la infiel.,la infiel,violent,2,2
11,la criada.,la criada,violent,2,2
12,MISS SEXY.,miss sexy,violent,2,2
13,la toxica.,la toxica,violent,2,2
14,tía juruga.,tía juruga,violent,2,1
15,esto- posa.,esto- posa,violent,2,2
16,mala mujer.,mala mujer,violent,2,2
17,mala mujer.,mala mujer,violent,2,2
18,Estás loca.,estás loca,violent,2,2
19,eres gorda.,eres gorda,violent,2,2
20,sucia zorra.,sucia zorra,violent,2,2
21,Mujer fácil.,mujer fácil,violent,2,2
22,tía cortona.,tía cortona,violent,2,1
23,ama de casa.,ama de casa,violent,3,3
24,jodida puta.,jodida puta,violent,2,2
25,ir de putas.,ir de putas,violent,3,3
26,puta barata.,puta barata,violent,2,2
27,putas locas.,putas locas,violent,2,2
28,Tas pendeja.,tas pendeja,violent,2,2
29,la facilota.,la facilota,violent,2,1
30,ir de putas.,ir de putas,violent,3,3
31,mufla de oro.,mufla de oro,violent,3,3
32,malas madres.,malas madres,violent,2,2
33,malas madres.,malas madres,violent,2,2
34,hijo de puta.,hijo de puta,violent,3,3
35,MISS CERDITA.,miss cerdita,violent,2,2
36,pierna peluda.,pierna peluda,violent,2,2
37,tía cachinga.,tía cachinga,violent,2,1
38,tía chamusca.,tía chamusca,violent,2,2
39,cagachu- rre.,cagachu- rre,violent,2,1
40,perra parida.,perra parida,violent,2,2
41,la libertina.,la libertina,violent,2,2
42,amiga infiel.,amiga infiel,violent,2,2
43,son malvadas.,son malvadas,violent,2,2
44,Jodida zorra.,jodida zorra,violent,2,2
45,hija de puta.,hija de puta,violent,3,3
46,pinche vieja.,pinche vieja,violent,2,2
