label,message,length,punct
ham,Ugh just got outta class,24,0
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,166,5
ham,Hey whats up? U sleeping all morning?,37,2
ham,Ok lor...,9,3
ham,You are not bothering me but you have to trust my answers. Pls.,63,2
ham,Total video converter free download type this in google search:),64,2
ham,What is important is that you prevent dehydration by giving her enough fluids,77,0
ham,Sounds great! Im going to sleep now. Have a good night!,55,3
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",72,3
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,84,2
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,3
ham,"Haha just kidding, papa needs drugs",35,1
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",85,3
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",111,6
ham,"No, I was trying it all weekend ;V",34,2
ham,I've reached sch already...,27,4
ham,I'll be at mu in like  &lt;#&gt;  seconds,41,6
ham,If you don't respond imma assume you're still asleep and imma start calling n shit,82,2
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",115,9
ham,Pls speak to that customer machan.,34,1
ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon! ",74,3
ham,"Just sent you an email – to an address with incomm in it, is that right?",72,2
ham,What makes you most happy?,26,1
ham,Gam gone after outstanding innings.,35,1
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",332,17
ham,Then why no one talking to me,29,0
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,113,1
ham,Hey i've booked the 2 lessons on sun liao...,44,4
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",276,12
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",177,6
ham,i can call in  &lt;#&gt;  min if thats ok,41,5
ham,Ill be at yours in about 3 mins but look out for me,51,0
ham,See? I thought it all through,29,1
ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn",119,8
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",151,5
ham,what is your account number?,28,1
ham,You see the requirements please,31,0
ham,Ok,2,0
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,153,5
ham,:) ,3,2
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,94,4
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",154,8
ham,Ok... Help me ask if she's working tmr a not?,45,5
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?",63,5
ham,Nah dub but je still buff,25,0
ham,My birthday is on feb  &lt;#&gt;  da. .,39,7
ham,What time you thinkin of goin?,30,1
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,63,2
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,100,3
ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",327,14
ham,We got a divorce. Lol. She.s here,33,3
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?,58,9
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,65,3
ham,Easy ah?sen got selected means its good..,41,3
ham,Dont know you bring some food,29,0
ham,I send the print  outs da.,26,1
ham,All done? All handed in? Celebrations in full swing yet?,56,3
ham,There the size of elephant tablets & u shove um up ur ass!!,59,3
ham,"Sorry da thangam, very very sorry i am held up with prasad.",59,2
ham,"I'm not sure, I was just checking out what was happening around the area",72,2
ham,I cant pick the phone right now. Pls send a message,51,1
ham,Bognor it is! Should be splendid at this time of year.,54,2
ham,Who u talking about?,20,1
ham,No calls..messages..missed calls,32,4
ham,Or remind me in a few hrs.,26,1
ham,"No my blankets are sufficient, thx",34,1
ham,Hi good mornin.. Thanku wish u d same..,39,4
ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! ",143,3
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,148,1
ham,"Haha, that was the first person I was gonna ask",47,1
ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",115,7
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",145,14
ham,ITS A LAPTOP TAKE IT WITH YOU.,30,1
ham,I want snow. It's just freezing and windy.,42,3
ham,How much would it cost to hire a hitman,39,0
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",78,12
ham,K..k:)how much does it cost?,28,5
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),166,12
ham,"How about clothes, jewelry, and trips?",38,3
ham,Do u still have plumbers tape and a wrench we could borrow?,59,1
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",226,10
ham,Where are you?when wil you reach here?,38,2
ham,dont make ne plans for nxt wknd coz she wants us to come down then ok,69,0
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,155,6
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep",55,3
ham,I donno its in your genes or something,38,0
ham,Actually i'm waiting for 2 weeks when they start putting ad.,60,2
ham,I went to project centre,24,0
ham,Great. P diddy is my neighbor and comes for toothpaste every morning,68,1
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",116,7
ham,Ugh hopefully the asus ppl dont randomly do a reformat.,55,1
ham,I cant pick the phone right now. Pls send a message,51,1
ham,Good Morning plz call me sir,28,0
ham,Okay... We wait ah,18,3
ham,Was the farm open?,18,1
ham,Ic. There are a lotta childporn cars then.,42,2
ham,Still i have not checked it da. . .,35,3
ham,"Alright, I'll head out in a few minutes, text me where to meet you",66,3
ham,Ok no prob,10,0
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,154,8
ham,I am late. I will be there at,29,1
ham,I cant pick the phone right now. Pls send a message,51,1
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",179,11
ham,Hey happy birthday...,21,3
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",118,13
ham,Once free call me sir.,22,1
ham,Okey dokey swashbuckling stuff what oh.,39,1
ham,I was just callin to say hi. Take care bruv!,44,2
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",92,13
ham,I have a sore throat. It's scratches when I talk,48,2
