label,message,length,punct
ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",165,13
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",126,3
ham,Speak only when you feel your words are better than the silence... Gud mrng:-),78,6
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola",76,3
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",75,3
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",64,6
ham,See the forwarding message for proof,36,0
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,103,0
ham,Now? I'm going out 4 dinner soon..,34,4
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",121,4
ham,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,77,9
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",77,2
ham,Ay wana meet on sat?ü wkg on sat?,33,2
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,169,9
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,64,0
ham,What time you coming down later? ,33,1
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY,35,0
ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",82,7
ham,With my sis lor... We juz watched italian job.,46,4
ham,Where did u go? My phone is gonna die you have to stay in here,62,1
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",145,16
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",157,2
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc",50,3
ham,Is that on the telly? No its Brdget Jones!,42,2
ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",70,7
ham,Shopping lor. Them raining mah hard 2 leave orchard.,52,2
ham,I called but no one pick up e phone. I ask both of them already they said ok.,77,2
